city,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
vaini,-21.2,-175.2,82.4,83,75,9.22,TO,1612670002
kodiak,57.79,-152.4072,33.8,60,1,5.75,US,1612670002
jamestown,42.097,-79.2353,15.8,53,1,6.91,US,1612669912
tasiilaq,65.6145,-37.6368,33.8,51,50,21.85,GL,1612669433
ushuaia,-54.8,-68.3,48.2,76,75,12.66,AR,1612670002
albany,42.6001,-73.9662,21.99,51,7,1.77,US,1612669950
tiksi,71.6872,128.8694,-25.4,85,100,6.06,RU,1612669983
taltal,-25.4,-70.4833,63.46,76,5,2.35,CL,1612669538
khorramabad,33.4878,48.3558,42.49,84,100,3.42,IR,1612670003
russell,32.3502,-85.1999,42.8,87,90,5.75,US,1612670003
hamilton,39.1834,-84.5333,30.0,74,90,6.38,US,1612669184
bredasdorp,-34.5322,20.0403,64.4,94,99,2.3,ZA,1612669913
hermanus,-34.4187,19.2345,66.0,94,97,10.65,ZA,1612670003
mataura,-46.1927,168.8643,78.85,46,15,4.16,NZ,1612669917
butaritari,3.0707,172.7902,80.92,80,60,21.21,KI,1612669778
santa lucia,27.9117,-15.5407,61.0,77,75,12.66,ES,1612670004
matamoros,25.5333,-103.25,69.8,11,1,1.39,MX,1612669714
clinton,42.587,-82.9199,18.0,62,90,10.36,US,1612669752
victoria,22.2855,114.1577,77.0,38,0,14.97,HK,1612669935
kalmunai,7.4167,81.8167,81.1,81,23,11.52,LK,1612669428
ust-kuyga,70.0167,135.6,-26.5,82,99,5.82,RU,1612670004
puerto cabezas,14.0351,-83.3888,76.59,86,4,8.28,NI,1612670004
cabo san lucas,22.8909,-109.9124,66.2,68,20,3.44,MX,1612669331
xingyi,24.1877,102.817,52.34,93,100,0.65,CN,1612670004
port hedland,-20.3167,118.5667,89.6,48,40,12.66,AU,1612670005
harrison,30.4091,-89.0436,51.8,87,90,3.44,US,1612670005
japura,-0.3167,102.35,88.27,54,62,4.76,ID,1612670005
tomatlan,19.9333,-105.25,66.47,92,1,2.33,MX,1612669988
bengkulu,-3.8004,102.2655,86.45,55,94,8.05,ID,1612669838
puerto ayora,-0.7393,-90.3518,77.0,95,49,6.71,EC,1612669538
pacific grove,36.6177,-121.9166,52.0,87,1,4.45,US,1612670005
rikitea,-23.1203,-134.9692,78.42,71,87,10.58,PF,1612670005
isangel,-19.55,169.2667,87.8,70,40,5.75,VU,1612669975
sisimiut,66.9395,-53.6735,27.99,80,0,21.0,GL,1612669472
saskylakh,71.9167,114.0833,-42.21,78,22,7.74,RU,1612669919
punta arenas,-53.15,-70.9167,48.2,76,0,11.5,CL,1612669451
flinders,-34.5833,150.8552,81.0,60,75,13.8,AU,1612669940
mahibadhoo,3.7833,72.9667,81.21,74,52,12.37,MV,1612670006
teya,60.3778,92.6267,27.79,96,89,8.68,RU,1612670006
bilibino,68.0546,166.4372,-4.76,77,0,3.04,RU,1612670007
atuona,-9.8,-139.0333,79.83,80,86,21.9,PF,1612669914
yulara,-25.2406,130.9889,91.4,19,0,12.66,AU,1612669437
aklavik,68.2191,-135.0107,-16.6,76,100,5.75,CA,1612670007
saint-philippe,-21.3585,55.7679,82.4,69,0,4.61,RE,1612670007
nikolskoye,59.7035,30.7861,10.4,79,90,13.42,RU,1612669921
solnechnyy,50.7214,136.6319,3.27,87,100,7.72,RU,1612670007
bluff,-46.6,168.3333,61.09,77,0,11.18,NZ,1612670007
yellowknife,62.456,-114.3525,-41.01,66,1,2.3,CA,1612669999
sao francisco do sul,-26.2433,-48.6381,66.99,94,59,14.0,BR,1612670007
